Home Zip/Postal,First Date Received,Last Date Received,# of Gifts,Avg. Contribution Amount,Total Amount
13640,4/8/20,4/8/20,1,$100.00,$100.00
13652,1/14/24,1/14/24,1,$25.00,$25.00
13655,12/15/20,12/15/20,1,$5.00,$5.00
1366,5/21/23,5/21/23,1,$10.00,$10.00
13665,2/27/21,2/27/21,1,$25.00,$25.00
13673,5/17/23,5/17/23,1,$20.00,$20.00
13685,12/1/23,12/1/23,1,$100.00,$100.00
13687,12/30/21,12/30/21,1,$100.00,$100.00
13692,5/10/20,5/10/20,1,$25.00,$25.00
13693,4/30/20,4/30/20,1,$25.00,$25.00
13730,10/20/23,10/20/23,1,$20.00,$20.00
13731,10/30/23,10/30/23,1,$20.00,$20.00
13754,4/13/20,4/13/20,1,$300.00,$300.00
1376,12/28/23,12/28/23,1,$5.00,$5.00
1377,10/28/23,10/28/23,1,$5.00,$5.00
13776,4/30/20,4/30/20,1,$10.00,$10.00
13777,3/17/20,3/17/20,1,$25.00,$25.00
13782,12/30/09,12/30/09,1,$10.00,$10.00
13783,4/3/20,4/3/20,1,$10.00,$10.00
13830,11/27/18,11/27/18,1,$100.00,$100.00
13862,3/29/20,3/29/20,1,$25.00,$25.00
14001,12/31/12,12/31/12,1,$25.00,$25.00
14009,5/10/20,5/10/20,1,$100.00,$100.00
14024,11/21/19,11/21/19,1,$25.00,$25.00
14028,7/8/23,7/8/23,1,$10.00,$10.00
14033,3/29/20,3/29/20,1,$50.00,$50.00
14034,2/1/24,2/1/24,1,$78.00,$78.00
14037,3/29/20,3/29/20,1,$25.00,$25.00
14040,11/25/13,11/25/13,1,$50.00,$50.00
14055,5/17/18,5/17/18,1,$20.00,$20.00
14102,12/18/23,12/18/23,1,$50.00,$50.00
14108,9/30/15,9/30/15,1,$50.00,$50.00
14167,2/26/24,2/26/24,1,$30.00,$30.00
14172,8/26/07,8/26/07,1,$100.00,$100.00
14215-3509,2/26/24,2/26/24,1,$5.00,$5.00
14219,12/11/20,12/11/20,1,$50.00,$50.00
1422EV,4/9/24,4/9/24,1,$10.00,$10.00
14280,12/23/16,12/23/16,1,$20.00,$20.00
14471,9/15/23,9/15/23,1,$25.00,$25.00
14489,12/3/13,12/3/13,1,$100.00,$100.00
14507,10/22/20,10/22/20,1,$100.00,$100.00
14548,3/13/20,3/13/20,1,$20.00,$20.00
14569,5/10/20,5/10/20,1,$50.00,$50.00
14572,10/8/20,10/8/20,1,$25.00,$25.00
14591,12/28/20,12/28/20,1,"$1,250.00","$1,250.00"
146-0083,7/26/23,7/26/23,1,$15.00,$15.00
14703,1/16/24,1/16/24,1,"$3,670.00","$3,670.00"
14726,12/19/23,12/19/23,1,$35.00,$35.00
14737,5/1/20,5/1/20,1,$10.00,$10.00
14741,12/16/23,12/16/23,1,$50.00,$50.00
14750,4/5/20,4/5/20,1,$50.00,$50.00
14767,1/23/21,1/23/21,1,$100.00,$100.00
14803,5/18/23,5/18/23,1,$25.00,$25.00
14805,5/11/23,5/11/23,1,$75.00,$75.00
14806,12/23/08,12/23/08,1,$50.00,$50.00
14809,2/18/21,2/18/21,1,$20.00,$20.00
14823,11/6/23,11/6/23,1,$5.00,$5.00
14826,11/7/21,11/7/21,1,$50.00,$50.00
14837,11/30/21,11/30/21,1,$100.00,$100.00
14839,11/22/23,11/22/23,1,$20.00,$20.00
14869,8/9/23,8/9/23,1,$20.00,$20.00
14873,4/14/24,4/14/24,1,$250.00,$250.00
14877,12/14/20,12/14/20,1,$50.00,$50.00
14879,10/22/23,10/22/23,1,$5.00,$5.00
14897,12/26/17,12/26/17,1,$10.00,$10.00
14902,3/1/24,3/1/24,1,$30.00,$30.00
15028,4/13/18,4/13/18,1,$50.00,$50.00
15035,11/27/13,11/27/13,1,$25.00,$25.00
15043,4/30/20,4/30/20,1,$100.00,$100.00
15045,4/7/20,4/7/20,1,$50.00,$50.00
15046,8/28/23,8/28/23,1,$50.00,$50.00
15048,6/22/23,6/22/23,1,$25.00,$25.00
15086,10/7/23,10/7/23,1,$25.00,$25.00
15104,10/3/23,10/3/23,1,$20.00,$20.00
15112,12/8/19,12/8/19,1,$25.00,$25.00
15160,5/1/24,5/1/24,1,$25.00,$25.00
152-0012,11/30/21,11/30/21,1,$50.00,$50.00
1522,11/4/19,11/4/19,1,$10.00,$10.00
15248,2/18/24,2/18/24,1,$5.00,$5.00
1529,12/20/23,12/20/23,1,$100.00,$100.00
15339,12/29/23,12/29/23,1,$40.00,$40.00
15347,4/30/20,4/30/20,1,$10.00,$10.00
15364,12/15/15,12/15/15,1,$25.00,$25.00
15410,11/8/19,11/8/19,1,$15.00,$15.00
15417,5/16/23,5/16/23,1,$20.00,$20.00
15442,8/2/23,8/2/23,1,$20.00,$20.00
15478,3/1/21,3/1/21,1,$100.00,$100.00
1550,11/28/23,11/28/23,1,$20.00,$20.00
15541,4/30/20,4/30/20,1,$25.00,$25.00
15554,8/30/23,8/30/23,1,$10.00,$10.00
15629,4/7/13,4/7/13,1,$500.00,$500.00
15639,5/1/20,5/1/20,1,$25.00,$25.00
15670,8/4/22,8/4/22,1,$10.00,$10.00
15672,6/30/10,6/30/10,1,$25.00,$25.00
15679,5/10/20,5/10/20,1,$20.00,$20.00
15747,8/6/23,8/6/23,1,$50.00,$50.00
15772,5/15/23,5/15/23,1,$7.00,$7.00
15824,1/4/21,1/4/21,1,$100.00,$100.00
15851,12/15/23,12/15/23,1,$25.00,$25.00
15864,12/15/20,12/15/20,1,$10.00,$10.00
15901,1/31/24,1/31/24,1,$25.00,$25.00
15926,8/9/23,8/9/23,1,$20.00,$20.00
15927,4/6/15,4/6/15,1,$20.00,$20.00
15928,4/22/20,4/22/20,1,$50.00,$50.00
15936,3/29/20,3/29/20,1,$50.00,$50.00
15943,10/11/23,10/11/23,1,$10.00,$10.00
15954,4/26/24,4/26/24,1,$50.00,$50.00
15956,3/22/20,3/22/20,1,$25.00,$25.00
16000,2/15/24,2/15/24,1,$5.00,$5.00
16020,7/16/17,7/16/17,1,$100.00,$100.00
16033,2/18/20,2/18/20,1,$50.00,$50.00
16034,12/3/12,12/3/12,1,$20.00,$20.00
16038,8/13/23,8/13/23,1,$20.00,$20.00
16056,11/20/23,11/20/23,1,$25.00,$25.00
1610,6/2/23,6/2/23,1,$5.75,$5.75
16112,10/12/23,10/12/23,1,$10.00,$10.00
16113,4/30/20,4/30/20,1,$10.00,$10.00
16121,4/25/24,4/25/24,1,$10.00,$10.00
16124,10/6/23,10/6/23,1,$5.00,$5.00
16132,5/10/20,5/10/20,1,$50.00,$50.00
16153,11/20/17,11/20/17,1,$25.00,$25.00
16156,5/12/20,5/12/20,1,$50.00,$50.00
16235,4/30/20,4/30/20,1,$25.00,$25.00
16259,6/3/23,6/3/23,1,$50.00,$50.00
16311,11/29/14,11/29/14,1,$10.00,$10.00
16316,4/30/20,4/30/20,1,$25.00,$25.00
16347,12/10/16,12/10/16,1,$5.00,$5.00
16373,4/30/20,4/30/20,1,$25.00,$25.00
16407,11/20/07,11/20/07,1,$10.00,$10.00
16611,2/24/21,2/24/21,1,$25.00,$25.00
16627,12/28/23,12/28/23,1,$50.00,$50.00
16641,5/3/20,5/3/20,1,$100.00,$100.00
16650,3/30/24,3/30/24,1,$20.00,$20.00
16657,12/21/17,12/21/17,1,$20.00,$20.00
16740,11/28/23,11/28/23,1,$25.00,$25.00
16802,3/28/24,3/28/24,1,$250.00,$250.00
16833,4/15/20,4/15/20,1,$50.00,$50.00
16853,5/1/20,5/1/20,1,$25.00,$25.00
16865,12/26/14,12/26/14,1,$30.00,$30.00
16866,4/17/24,4/17/24,1,$25.00,$25.00
16876,6/5/23,6/5/23,1,$5.00,$5.00
16881,5/12/24,5/12/24,1,$40.00,$40.00
16914,2/4/16,2/4/16,1,$66.00,$66.00
16932,11/26/20,11/26/20,1,$100.00,$100.00
170002,3/19/24,3/19/24,1,$15.00,$15.00
17004,5/10/20,5/10/20,1,$25.00,$25.00
17006,3/29/20,3/29/20,1,$25.00,$25.00
17024,11/4/18,11/4/18,1,$20.00,$20.00
1703,11/11/23,11/11/23,1,$100.00,$100.00
17047,9/18/23,9/18/23,1,$25.00,$25.00
17063,3/28/23,3/28/23,1,$20.00,$20.00
17066,10/12/20,10/12/20,1,$25.00,$25.00
17073,3/29/20,3/29/20,1,$25.00,$25.00
17086,6/1/23,6/1/23,1,$60.00,$60.00
17098,12/21/23,12/21/23,1,$20.00,$20.00
17099,6/3/23,6/3/23,1,$20.00,$20.00
17236,5/1/20,5/1/20,1,$10.00,$10.00
17240,12/6/17,12/6/17,1,$25.00,$25.00
17306,5/9/20,5/9/20,1,$25.00,$25.00
1731,4/25/20,4/25/20,1,"$2,000.00","$2,000.00"
17321,5/10/20,5/10/20,1,$50.00,$50.00
17344,5/12/20,5/12/20,1,$25.00,$25.00
17352,4/30/20,4/30/20,1,$100.00,$100.00
17364,12/12/23,12/12/23,1,$10.00,$10.00
17366,6/15/23,6/15/23,1,$10.00,$10.00
17405,5/10/20,5/10/20,1,$25.00,$25.00
17502,1/5/21,1/5/21,1,$15.00,$15.00
17532,8/24/23,8/24/23,1,$50.00,$50.00
17555,4/30/20,4/30/20,1,$25.00,$25.00
17572,5/1/20,5/1/20,1,$25.00,$25.00
17576,12/29/23,12/29/23,1,$25.00,$25.00
17578,4/30/20,4/30/20,1,$25.00,$25.00
17581,4/29/24,4/29/24,1,$25.00,$25.00
17608,6/17/23,6/17/23,1,$20.00,$20.00
17744,4/7/20,4/7/20,1,$25.00,$25.00
17772,10/6/23,10/6/23,1,$50.00,$50.00
17841,4/30/20,4/30/20,1,$50.00,$50.00
17842,12/11/20,12/11/20,1,$250.00,$250.00
17844,12/9/14,12/9/14,1,$15.00,$15.00
17859,10/6/23,10/6/23,1,$25.00,$25.00
17860,2/12/24,2/12/24,1,$25.00,$25.00
17948,10/28/23,10/28/23,1,$20.00,$20.00
17952,5/20/22,5/20/22,1,$438.23,$438.23
17960,12/31/12,12/31/12,1,$15.00,$15.00
17976,11/21/23,11/21/23,1,$5.00,$5.00
18000,2/9/24,2/9/24,1,$5.00,$5.00
18056,12/18/23,12/18/23,1,$20.00,$20.00
18074,6/14/23,6/14/23,1,$10.00,$10.00
18092,12/13/20,12/13/20,1,$25.00,$25.00
18100,9/18/23,9/18/23,1,$20.00,$20.00
18200,11/21/23,11/21/23,1,$100.00,$100.00
18211,5/19/23,5/19/23,1,$20.00,$20.00
18214,12/14/23,12/14/23,1,$50.00,$50.00
18255,5/31/20,5/31/20,1,$25.00,$25.00
183 53,10/31/23,10/31/23,1,$5.00,$5.00
1831,12/28/23,12/28/23,1,$500.00,$500.00
18335,11/11/23,11/11/23,1,$50.00,$50.00
18370,3/18/20,3/18/20,1,$10.00,$10.00
1840,1/1/24,1/1/24,1,$25.00,$25.00
18405,11/25/20,11/25/20,1,$100.00,$100.00
18419,11/4/23,11/4/23,1,$20.00,$20.00
18434,12/18/21,12/18/21,1,$50.00,$50.00
18435,12/21/23,12/21/23,1,$25.00,$25.00
18460,5/10/20,5/10/20,1,$100.00,$100.00
18465,4/30/20,4/30/20,1,$25.00,$25.00
1850,12/24/23,12/24/23,1,$100.00,$100.00
18503,8/13/23,8/13/23,1,$10.00,$10.00
18507,12/23/08,12/23/08,1,$100.00,$100.00
18517,4/25/20,4/25/20,1,$100.00,$100.00
1853,4/19/20,4/19/20,1,$100.00,$100.00
18624,11/23/23,11/23/23,1,$10.00,$10.00
18627,10/6/23,10/6/23,1,$100.00,$100.00
18628,12/14/14,12/14/14,1,$15.00,$15.00
18660,6/19/15,6/19/15,1,$20.00,$20.00
18833,12/26/23,12/26/23,1,$100.00,$100.00
18844,11/23/23,11/23/23,1,$25.00,$25.00
18847,5/11/20,5/11/20,1,$25.00,$25.00
1900,5/6/24,5/6/24,1,$20.00,$20.00
19017,4/5/20,4/5/20,1,$25.00,$25.00
19074,12/1/20,12/1/20,1,$15.00,$15.00
19076,12/7/13,12/7/13,1,$20.00,$20.00
19112,4/30/20,4/30/20,1,$25.00,$25.00
19372,8/25/23,8/25/23,1,$50.00,$50.00
19399,3/25/20,3/25/20,1,$200.00,$200.00
19421,4/21/20,4/21/20,1,"$1,000.00","$1,000.00"
19453,3/29/20,3/29/20,1,$25.00,$25.00
19472,11/28/23,11/28/23,1,$35.00,$35.00
19602,5/29/12,5/29/12,1,$100.00,$100.00
19706,10/20/23,10/20/23,1,$50.00,$50.00
19730,9/1/23,9/1/23,1,$100.00,$100.00
19946,5/16/20,5/16/20,1,$25.00,$25.00
20000,7/18/23,7/18/23,1,$12.00,$12.00
200051,11/16/20,11/16/20,1,$50.00,$50.00
20122,5/13/20,5/13/20,1,$25.00,$25.00
20153,3/25/21,3/25/21,1,$25.00,$25.00
2017,12/25/23,12/25/23,1,$120.00,$120.00
20178,9/20/23,9/20/23,1,$25.00,$25.00
20220,5/19/24,5/19/24,1,$20.00,$20.00
20230,11/28/23,11/28/23,1,$20.00,$20.00
2035,2/9/24,2/9/24,1,$10.00,$10.00
20500,10/28/23,10/28/23,1,$20.00,$20.00
20626,12/22/11,12/22/11,1,$90.00,$90.00
20632,12/16/23,12/16/23,1,$100.00,$100.00
20634,6/17/20,6/17/20,1,$50.00,$50.00
20645,12/30/09,12/30/09,1,$25.00,$25.00
20664,9/21/22,9/21/22,1,$50.00,$50.00
20752,5/10/20,5/10/20,1,$25.00,$25.00
20768,12/22/23,12/22/23,1,$25.00,$25.00
20824,5/10/20,5/10/20,1,$250.00,$250.00
20848,12/30/20,12/30/20,1,$220.20,$220.20
20913,7/26/20,7/26/20,1,$50.00,$50.00
21000,2/19/24,2/19/24,1,$5.00,$5.00
21017,8/15/23,8/15/23,1,$20.00,$20.00
21020,6/11/23,6/11/23,1,$200.00,$200.00
21022,12/31/19,12/31/19,1,$50.00,$50.00
21052,3/29/20,3/29/20,1,$25.00,$25.00
21056,2/27/24,2/27/24,1,$50.00,$50.00
2112,11/29/23,11/29/23,1,$10.00,$10.00
21140,3/22/20,3/22/20,1,$100.00,$100.00
21156,4/30/20,4/30/20,1,$100.00,$100.00
2125,7/6/23,7/6/23,1,$18.00,$18.00
21530,3/29/20,3/29/20,1,$50.00,$50.00
21610,12/8/23,12/8/23,1,$50.00,$50.00
21634,6/2/21,6/2/21,1,$25.00,$25.00
21636,5/10/20,5/10/20,1,$100.00,$100.00
21651,6/23/20,6/23/20,1,$50.00,$50.00
21667,11/15/16,11/15/16,1,$20.00,$20.00
21717,12/11/15,12/11/15,1,$50.00,$50.00
21722,6/1/23,6/1/23,1,$50.00,$50.00
21757,11/17/23,11/17/23,1,$250.00,$250.00
21779,3/30/20,3/30/20,1,$250.00,$250.00
21803,5/25/23,5/25/23,1,$5.00,$5.00
21829,12/23/11,12/23/11,1,$12.00,$12.00
21837,3/27/20,3/27/20,1,$100.00,$100.00
21861,9/15/23,9/15/23,1,$5.00,$5.00
21869,5/9/24,5/9/24,1,$5.00,$5.00
21902,9/1/23,9/1/23,1,$10.00,$10.00
21917,3/29/20,3/29/20,1,$10.00,$10.00
2201,9/2/23,9/2/23,1,$20.00,$20.00
22038,9/11/23,9/11/23,1,$10.00,$10.00
2205,12/19/20,12/19/20,1,$100.00,$100.00
22071,12/31/22,12/31/22,1,$500.00,$500.00
22103,9/11/23,9/11/23,1,$20.00,$20.00
22134,10/14/23,10/14/23,1,$10.00,$10.00
22210,5/8/22,5/8/22,1,$10.00,$10.00
22216,12/15/20,12/15/20,1,$25.00,$25.00
22313,8/23/22,8/23/22,1,$36.00,$36.00
2238,3/13/20,3/13/20,1,$50.00,$50.00
22404,10/15/09,10/15/09,1,$25.00,$25.00
22463,5/2/20,5/2/20,1,$25.00,$25.00
22538,3/13/24,3/13/24,1,$25.00,$25.00
22542,10/5/23,10/5/23,1,$40.00,$40.00
22555,12/27/21,12/27/21,1,$20.00,$20.00
22567,12/12/22,12/12/22,1,$100.00,$100.00
22623,12/30/08,12/30/08,1,$50.00,$50.00
22624,11/28/14,11/28/14,1,$50.00,$50.00
22627,9/1/23,9/1/23,1,$25.00,$25.00
22644,3/1/23,3/1/23,1,$20.00,$20.00
22650,6/18/16,6/18/16,1,$20.00,$20.00
22654,10/25/23,10/25/23,1,$100.00,$100.00
22663,8/16/20,8/16/20,1,$158.00,$158.00
22711,5/4/24,5/4/24,1,$50.00,$50.00
22715,10/4/13,10/4/13,1,$25.00,$25.00
22718,10/6/23,10/6/23,1,$25.00,$25.00
22728,7/30/22,7/30/22,1,$20.00,$20.00
22732,12/24/20,12/24/20,1,$100.00,$100.00
22736,4/4/24,4/4/24,1,$25.00,$25.00
22742,9/1/20,9/1/20,1,$25.00,$25.00
22832,12/14/17,12/14/17,1,$25.00,$25.00
22843,5/23/23,5/23/23,1,$20.00,$20.00
22846,10/15/23,10/15/23,1,$20.00,$20.00
22847,5/2/20,5/2/20,1,$25.00,$25.00
22904,4/11/24,4/11/24,1,$60.00,$60.00
22905,3/29/20,3/29/20,1,$25.00,$25.00
22937,11/28/23,11/28/23,1,"$1,000.00","$1,000.00"
22943,12/22/14,12/22/14,1,$80.00,$80.00
22971,9/24/15,9/24/15,1,$25.00,$25.00
22972,5/11/20,5/11/20,1,$300.00,$300.00
23000,10/28/23,10/28/23,1,$25.00,$25.00
23015,12/15/20,12/15/20,1,$50.00,$50.00
23022,12/24/20,12/24/20,1,$100.00,$100.00
2303,11/11/14,11/11/14,1,$15.00,$15.00
23047,12/1/20,12/1/20,1,$100.00,$100.00
23066,4/28/24,4/28/24,1,$10.00,$10.00
23071,9/10/12,9/10/12,1,$25.00,$25.00
23083,4/22/20,4/22/20,1,$100.00,$100.00
23086,11/14/20,11/14/20,1,$100.00,$100.00
23090,12/15/23,12/15/23,1,$18.00,$18.00
23109,9/11/23,9/11/23,1,$25.00,$25.00
23138,5/9/20,5/9/20,1,$25.00,$25.00
23218,10/22/20,10/22/20,1,$100.00,$100.00
23260,7/17/17,7/17/17,1,$25.00,$25.00
2327,12/4/13,12/4/13,1,$25.00,$25.00
23315,7/5/20,7/5/20,1,$10.00,$10.00
2336,12/31/23,12/31/23,1,$200.00,$200.00
23416,3/21/21,3/21/21,1,$33.83,$33.83
23436,10/19/23,10/19/23,1,$10.00,$10.00
23439,10/9/23,10/9/23,1,$25.00,$25.00
23440,11/26/23,11/26/23,1,$10.00,$10.00
23446,6/9/23,6/9/23,1,$25.00,$25.00
2345,11/21/18,11/21/18,1,$250.00,$250.00
23457,8/1/23,8/1/23,1,$50.00,$50.00
23541,12/29/17,12/29/17,1,$5.00,$5.00
23708,10/15/23,10/15/23,1,$5.00,$5.00
23801,11/13/11,11/13/11,1,$30.00,$30.00
2381,3/29/20,3/29/20,1,$50.00,$50.00
23824,12/31/12,12/31/12,1,$50.00,$50.00
23827,3/20/21,3/20/21,1,$25.00,$25.00
23830,5/2/20,5/2/20,1,$25.00,$25.00
23841,4/12/24,4/12/24,1,$25.00,$25.00
23845,4/30/20,4/30/20,1,$25.00,$25.00
23879,5/7/20,5/7/20,1,$30.00,$30.00
23885,9/16/23,9/16/23,1,$50.00,$50.00
23897,1/5/24,1/5/24,1,$25.00,$25.00
23924,12/4/15,12/4/15,1,$10.00,$10.00
23936,12/15/20,12/15/20,1,$50.00,$50.00
23947,12/29/23,12/29/23,1,$50.00,$50.00
23954,12/31/23,12/31/23,1,$25.00,$25.00
